epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.911,1.41297,2.1735,1.25001,0.98187,0.3363,0.78807,0.4474,1.33585,2.63201,1.14743,0.00064,0.00064,0.00064
2,299.734,1.49174,1.83567,1.36495,0.31037,0.12422,0.11692,0.04942,1.60259,3.39922,1.7648,0.00127426,0.00127426,0.00127426
3,446.93,1.53021,1.76138,1.40276,0.65799,0.3913,0.41874,0.21849,1.82004,2.692,1.81804,0.00188238,0.00188238,0.00188238
4,590.56,1.57605,1.69046,1.40438,0.53244,0.49068,0.49125,0.24715,1.85233,2.05233,1.70393,0.0018812,0.0018812,0.0018812
5,730.187,1.50772,1.60505,1.37396,0.72142,0.56522,0.61879,0.32249,1.62399,2.12046,1.51186,0.0018416,0.0018416,0.0018416
6,870.312,1.5484,1.50059,1.41659,0.81917,0.55901,0.70865,0.35679,1.64886,2.04852,1.63483,0.001802,0.001802,0.001802
7,1011.67,1.51357,1.40745,1.38578,0.6832,0.61618,0.65937,0.32468,1.75495,1.77016,1.60043,0.0017624,0.0017624,0.0017624
8,1151.5,1.46673,1.33555,1.3294,0.81032,0.74299,0.78672,0.44362,1.48457,1.34821,1.38705,0.0017228,0.0017228,0.0017228
9,1297.08,1.42465,1.30049,1.3465,0.84631,0.73292,0.81074,0.46389,1.45862,1.38154,1.44326,0.0016832,0.0016832,0.0016832
10,1455.95,1.45589,1.26756,1.33021,0.76846,0.67702,0.73953,0.39297,1.5618,1.42532,1.4434,0.0016436,0.0016436,0.0016436
11,1627.94,1.39821,1.18535,1.32089,0.81794,0.69763,0.76877,0.42329,1.54018,1.38827,1.48967,0.001604,0.001604,0.001604
12,1824.39,1.35402,1.12836,1.29255,0.7695,0.72573,0.77623,0.4585,1.47494,1.3033,1.3725,0.0015644,0.0015644,0.0015644
13,2043.69,1.34242,1.1304,1.28221,0.83033,0.68944,0.77213,0.44786,1.5368,1.24577,1.44688,0.0015248,0.0015248,0.0015248
14,2196.18,1.37119,1.08183,1.28981,0.8782,0.73292,0.80309,0.46028,1.44571,1.20647,1.36614,0.0014852,0.0014852,0.0014852
15,2344.76,1.38893,1.07124,1.29244,0.90111,0.68944,0.80256,0.45116,1.53877,1.22079,1.45117,0.0014456,0.0014456,0.0014456
16,2485.51,1.31755,1.06266,1.28142,0.84873,0.62731,0.70498,0.41108,1.55667,1.52326,1.45952,0.001406,0.001406,0.001406
17,2626.38,1.33592,1.03019,1.28835,0.87594,0.67081,0.79157,0.44704,1.51854,1.17714,1.4212,0.0013664,0.0013664,0.0013664
18,2767.5,1.34575,1.03033,1.27565,0.87995,0.75776,0.83747,0.50732,1.43448,1.13873,1.36244,0.0013268,0.0013268,0.0013268
19,2908.41,1.28642,0.95932,1.24633,0.93013,0.74534,0.86843,0.52953,1.38898,0.96904,1.36527,0.0012872,0.0012872,0.0012872
20,3049.09,1.29027,0.9957,1.25254,0.82228,0.80466,0.85003,0.49855,1.43962,1.02838,1.37624,0.0012476,0.0012476,0.0012476
